filename,doi,title,authors,year,notes
41598_2018_Article_25247.pdf,,Zinc biofortification in wheat,Dapkekar et al,2018,Matched GT via Dapkekar search
agronomy-10-01566-v2.pdf,10.3390/agronomy10101566,Zinc biofortification in wheat,Chattha & Mahmood et al,2020,
fpls-08-00281.pdf,10.3389/fpls.2017.00281,Characterizing zinc biofortification,Rehman et al,2017,
fpls-10-00426.pdf,10.3389/fpls.2019.00426,Zinc uptake in wheat,Liu D.Y. et al,2019,
HarevstPlus_Zouetal2012.pdf,,Zinc biofortification agronomic approach,Zou C.Q. & Zhang Y.Q. & Rashid et al,2012,
pse_pse-201308-0003.pdf,,Zinc biofortification in wheat,Ghasal et al,2017,
s11104-015-2758-0.pdf,10.1007/s11104-015-2758-0,Zinc biofortification in wheat,Gomez-Coronado et al,2016,
s11104-016-2815-3.pdf,10.1007/s11104-016-2815-3,Zinc biofortification in wheat,Ram H. & Rashid A. & Zhang W. et al,2016,
