dataset,threshold,n,r,mae,direction,overall_diff,w5,w10,w20
Hui 2023,0.01,193,1.0,0.05,100.0,0.0,100.0,100.0,100.0
Hui 2023,0.05,227,0.995,1.14,99.6,0.32,90.7,95.6,100.0
Hui 2023,0.1,263,0.976,3.36,99.2,1.2,81.4,87.1,92.8
Hui 2023,0.15,279,0.95,4.95,98.9,2.17,77.8,83.2,88.9
Hui 2023,0.2,279,0.95,4.95,98.9,2.17,77.8,83.2,88.9
Hui 2023,0.25,279,0.95,4.95,98.9,2.17,77.8,83.2,88.9
Hui 2023,0.3,279,0.95,4.95,98.9,2.17,77.8,83.2,88.9
Hui 2023,1.0,279,0.95,4.95,98.9,2.17,77.8,83.2,88.9
Li 2022,0.05,90,0.981,1.38,95.3,0.01,91.1,98.9,100.0
Li 2022,0.1,112,0.889,3.7,93.5,0.03,75.9,84.8,98.2
Li 2022,0.15,125,0.831,4.74,92.6,1.07,70.4,80.8,95.2
Li 2022,0.2,133,0.772,5.5,93.0,0.82,66.9,78.9,94.0
Li 2022,0.25,151,0.524,9.91,91.2,0.89,59.6,70.9,85.4
Li 2022,0.3,163,0.453,11.62,86.2,0.06,55.2,65.6,81.0
Li 2022,0.5,163,0.453,11.62,86.2,0.06,55.2,65.6,81.0
Li 2022,1.0,163,0.453,11.62,86.2,0.06,55.2,65.6,81.0
