dataset,dataset_code,paper_id,cell_key,matched,same_paper_ai_records_present,reference_source_format,reference_rows_in_cell,reference_cells_in_paper,reference_rows_in_paper,distinct_outcome_canonical_in_paper,distinct_crop_in_paper,distinct_treatment_level_in_paper,distinct_co_amendment_in_paper,distinct_co_amendment_level_in_paper,distinct_timepoint_in_paper,distinct_aggregation_level_in_paper
Li X et al. 2024,Biochar,shi_2022,shi_2022 | crop_yield | wheat | 20 | none | 0 | season2017_2018,1,1,nonfigure,1,18,18,1,2,3,1,1,6,1
Li X et al. 2024,Biochar,shi_2022,shi_2022 | crop_yield | wheat | 20 | none | 0 | season2018_2019,1,1,nonfigure,1,18,18,1,2,3,1,1,6,1
Li X et al. 2024,Biochar,shi_2022,shi_2022 | crop_yield | wheat | 5 | none | 0 | season2016_2017,1,1,nonfigure,1,18,18,1,2,3,1,1,6,1
Li X et al. 2024,Biochar,shi_2022,shi_2022 | crop_yield | wheat | 5 | none | 0 | season2017_2018,1,1,nonfigure,1,18,18,1,2,3,1,1,6,1
Li X et al. 2024,Biochar,shi_2022,shi_2022 | crop_yield | wheat | 5 | none | 0 | season2018_2019,1,1,nonfigure,1,18,18,1,2,3,1,1,6,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice | 10 | nitrogen_fertilizer | 200 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice | 10 | none | 0 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice | 25 | nitrogen_fertilizer | 200 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice | 25 | none | 0 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice | 50 | nitrogen_fertilizer | 200 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice | 50 | none | 0 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice_biomass | 25 | none | 0 | upland,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice_biomass | 50 | none | 0 | upland,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice_grain | 25 | none | 0 | upland,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | rice_grain | 50 | none | 0 | upland,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat | 10 | nitrogen_fertilizer | 200 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat | 10 | none | 0 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat | 25 | nitrogen_fertilizer | 200 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat | 25 | none | 0 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat | 50 | nitrogen_fertilizer | 200 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat | 50 | none | 0 | paddy,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat_biomass | 25 | nitrogen_fertilizer | 200 | upland,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat_biomass | 50 | nitrogen_fertilizer | 200 | upland,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat_grain | 25 | nitrogen_fertilizer | 200 | upland,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wang_2012,wang_2012 | crop_yield | wheat_grain | 50 | nitrogen_fertilizer | 200 | upland,0,1,figure,1,20,20,1,6,3,2,2,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | maize | 3 | nitrogen_fertilizer | 100 | y2019,1,1,nonfigure,2,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | maize | 3 | nitrogen_fertilizer | 100 | y2020,1,1,nonfigure,2,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | maize | 3 | nitrogen_fertilizer | 70 | y2019,1,1,nonfigure,1,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | maize | 3 | nitrogen_fertilizer | 70 | y2020,1,1,nonfigure,1,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | maize | 3 | nitrogen_fertilizer | 85 | y2019,1,1,nonfigure,1,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | maize | 3 | nitrogen_fertilizer | 85 | y2020,1,1,nonfigure,1,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | rapeseed | 3 | nitrogen_fertilizer | 100 | y2019,1,1,nonfigure,2,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | rapeseed | 3 | nitrogen_fertilizer | 100 | y2020,1,1,nonfigure,2,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | rapeseed | 3 | nitrogen_fertilizer | 70 | y2019,1,1,nonfigure,1,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | rapeseed | 3 | nitrogen_fertilizer | 70 | y2020,1,1,nonfigure,1,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | rapeseed | 3 | nitrogen_fertilizer | 85 | y2019,1,1,nonfigure,1,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,wei_2022,wei_2022 | crop_yield | rapeseed | 3 | nitrogen_fertilizer | 85 | y2020,1,1,nonfigure,1,12,16,1,2,1,1,3,2,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 13.5 | none | 0 | y2012,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 13.5 | none | 0 | y2013,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 13.5 | none | 0 | y2014,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 13.5 | none | 0 | y2015,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 13.5 | none | 0 | y2016,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 13.5 | none | 0 | y2017,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 13.5 | none | 0 | y2018,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 22.5 | none | 0 | y2012,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 22.5 | none | 0 | y2013,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 22.5 | none | 0 | y2014,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 22.5 | none | 0 | y2015,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 22.5 | none | 0 | y2016,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 22.5 | none | 0 | y2017,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 22.5 | none | 0 | y2018,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 4.5 | none | 0 | y2012,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 4.5 | none | 0 | y2013,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 4.5 | none | 0 | y2014,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 4.5 | none | 0 | y2015,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 4.5 | none | 0 | y2016,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 4.5 | none | 0 | y2017,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | maize | 4.5 | none | 0 | y2018,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 13.5 | none | 0 | y2012,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 13.5 | none | 0 | y2013,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 13.5 | none | 0 | y2014,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 13.5 | none | 0 | y2015,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 13.5 | none | 0 | y2016,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 13.5 | none | 0 | y2017,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 13.5 | none | 0 | y2018,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 22.5 | none | 0 | y2012,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 22.5 | none | 0 | y2013,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 22.5 | none | 0 | y2014,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 22.5 | none | 0 | y2015,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 22.5 | none | 0 | y2016,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 22.5 | none | 0 | y2017,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 22.5 | none | 0 | y2018,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 4.5 | none | 0 | y2012,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 4.5 | none | 0 | y2013,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 4.5 | none | 0 | y2014,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 4.5 | none | 0 | y2015,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 4.5 | none | 0 | y2016,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 4.5 | none | 0 | y2017,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,xie_2021,xie_2021 | crop_yield | wheat | 4.5 | none | 0 | y2018,0,1,figure,1,42,42,1,2,3,1,1,7,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 0 | straw_nitrogen | 100 | y2014,0,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 0 | straw_nitrogen | 100 | y2015,0,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 0 | straw_nitrogen | 100 | y2016,0,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 0 | straw_nitrogen | 50 | y2014,0,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 0 | straw_nitrogen | 50 | y2015,0,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 0 | straw_nitrogen | 50 | y2016,0,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 0 | y2014,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 0 | y2015,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 0 | y2016,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 100 | y2014,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 100 | y2015,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 100 | y2016,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 50 | y2014,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 50 | y2015,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,yeboah_2018,yeboah_2018 | crop_yield | wheat | 15 | nitrogen | 50 | y2016,1,1,nonfigure,1,15,15,1,1,2,2,3,3,1
Li X et al. 2024,Biochar,zhang_2021,zhang_2021 | crop_yield | maize | 1.5 | none | 0 | y2017,0,1,figure,2,6,15,1,1,1,2,2,3,1
Li X et al. 2024,Biochar,zhang_2021,zhang_2021 | crop_yield | maize | 1.5 | none | 0 | y2018,0,1,figure,2,6,15,1,1,1,2,2,3,1
Li X et al. 2024,Biochar,zhang_2021,zhang_2021 | crop_yield | maize | 1.5 | none | 0 | y2019,0,1,figure,2,6,15,1,1,1,2,2,3,1
Li X et al. 2024,Biochar,zhang_2021,zhang_2021 | crop_yield | maize | 1.5 | organic_fertilizer | 1.5 | y2017,0,1,figure,3,6,15,1,1,1,2,2,3,1
Li X et al. 2024,Biochar,zhang_2021,zhang_2021 | crop_yield | maize | 1.5 | organic_fertilizer | 1.5 | y2018,0,1,figure,3,6,15,1,1,1,2,2,3,1
Li X et al. 2024,Biochar,zhang_2021,zhang_2021 | crop_yield | maize | 1.5 | organic_fertilizer | 1.5 | y2019,0,1,figure,3,6,15,1,1,1,2,2,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 10 | none | 0 | y2015,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 10 | none | 0 | y2016,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 10 | none | 0 | y2017,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 15 | none | 0 | y2015,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 15 | none | 0 | y2016,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 15 | none | 0 | y2017,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 20 | none | 0 | y2015,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 20 | none | 0 | y2016,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 20 | none | 0 | y2017,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 5 | none | 0 | y2015,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 5 | none | 0 | y2016,0,1,figure,1,12,12,1,1,4,1,1,3,1
Li X et al. 2024,Biochar,zhang_j_2019,zhang_j_2019 | crop_yield | rice | 5 | none | 0 | y2017,0,1,figure,1,12,12,1,1,4,1,1,3,1
Hui et al. 2025,Hui,bharti_2013,bharti_2013 | grain_zn | soil,1,1,nonfigure,20,2,40,1,1,2,1,1,0,1
Hui et al. 2025,Hui,bharti_2013,bharti_2013 | grain_zn | soil+foliar,1,1,nonfigure,20,2,40,1,1,2,1,1,0,1
Hui et al. 2025,Hui,chattha_2017,chattha_2017 | grain_zn | foliar,1,1,nonfigure,6,3,18,1,1,3,1,1,0,1
Hui et al. 2025,Hui,chattha_2017,chattha_2017 | grain_zn | soil,1,1,nonfigure,6,3,18,1,1,3,1,1,0,1
Hui et al. 2025,Hui,chattha_2017,chattha_2017 | grain_zn | soil+foliar,1,1,nonfigure,6,3,18,1,1,3,1,1,0,1
Hui et al. 2025,Hui,erdal_2002,erdal_2002 | grain_zn | soil,1,1,nonfigure,20,1,20,1,1,1,1,1,0,1
Hui et al. 2025,Hui,forster_2018,forster_2018 | grain_zn | foliar,1,1,nonfigure,5,2,6,1,1,2,1,1,0,1
Hui et al. 2025,Hui,forster_2018,forster_2018 | grain_zn | soil,1,1,nonfigure,1,2,6,1,1,2,1,1,0,1
Hui et al. 2025,Hui,ghasal_2017,ghasal_2017 | grain_zn | soil,1,1,nonfigure,2,2,4,1,1,2,1,1,0,1
Hui et al. 2025,Hui,ghasal_2017,ghasal_2017 | grain_zn | soil+foliar,1,1,nonfigure,2,2,4,1,1,2,1,1,0,1
Hui et al. 2025,Hui,kalayci_1999,kalayci_1999 | grain_zn | soil,1,1,nonfigure,78,1,78,1,1,1,1,1,0,1
Hui et al. 2025,Hui,liu_2019,liu_2019 | grain_zn | soil,1,1,nonfigure,10,1,10,1,1,1,1,1,0,1
Hui et al. 2025,Hui,pahlavanrad_2009,pahlavanrad_2009 | grain_zn | foliar,1,1,nonfigure,1,2,3,1,1,2,1,1,0,1
Hui et al. 2025,Hui,pahlavanrad_2009,pahlavanrad_2009 | grain_zn | soil,1,1,nonfigure,2,2,3,1,1,2,1,1,0,1
Hui et al. 2025,Hui,peck_2008,peck_2008 | grain_zn | soil,1,1,nonfigure,10,2,18,1,1,2,1,1,0,1
Hui et al. 2025,Hui,peck_2008,peck_2008 | grain_zn | soil+foliar,1,1,nonfigure,8,2,18,1,1,2,1,1,0,1
Hui et al. 2025,Hui,ramzan_2020,ramzan_2020 | grain_zn | foliar,1,1,nonfigure,2,2,4,1,1,2,1,1,0,1
Hui et al. 2025,Hui,ramzan_2020,ramzan_2020 | grain_zn | soil,1,1,nonfigure,2,2,4,1,1,2,1,1,0,1
Hui et al. 2025,Hui,rashid_2019,rashid_2019 | grain_zn | soil,1,1,nonfigure,19,1,19,1,1,1,1,1,0,1
Hui et al. 2025,Hui,rehman_2018,rehman_2018 | grain_zn | foliar,0,1,nonfigure,1,2,58,1,1,2,1,1,0,1
Hui et al. 2025,Hui,rehman_2018,rehman_2018 | grain_zn | soil,1,1,nonfigure,57,2,58,1,1,2,1,1,0,1
Hui et al. 2025,Hui,wang_2012,wang_2012 | grain_zn | foliar,1,1,nonfigure,13,3,21,1,1,3,1,1,0,1
Hui et al. 2025,Hui,wang_2012,wang_2012 | grain_zn | soil,1,1,nonfigure,6,3,21,1,1,3,1,1,0,1
Hui et al. 2025,Hui,wang_2012,wang_2012 | grain_zn | soil+foliar,1,1,nonfigure,2,3,21,1,1,3,1,1,0,1
Hui et al. 2025,Hui,yang_2011,yang_2011 | grain_zn | soil,1,1,nonfigure,5,1,5,1,1,1,1,1,0,1
Hui et al. 2025,Hui,yilmaz_1997,yilmaz_1997 | grain_zn | foliar,1,1,nonfigure,4,3,12,1,1,3,1,1,0,1
Hui et al. 2025,Hui,yilmaz_1997,yilmaz_1997 | grain_zn | soil,1,1,nonfigure,4,3,12,1,1,3,1,1,0,1
Hui et al. 2025,Hui,yilmaz_1997,yilmaz_1997 | grain_zn | soil+foliar,1,1,nonfigure,4,3,12,1,1,3,1,1,0,1
Hui et al. 2025,Hui,yilmaz_1998,yilmaz_1998 | grain_zn | soil,1,1,nonfigure,3,1,3,1,1,1,1,1,0,1
Hui et al. 2025,Hui,zhang_2017,zhang_2017 | grain_zn | foliar,0,0,nonfigure,42,2,50,1,1,2,1,1,0,1
Hui et al. 2025,Hui,zhang_2017,zhang_2017 | grain_zn | soil,0,0,nonfigure,8,2,50,1,1,2,1,1,0,1
Hui et al. 2025,Hui,zou_2012,zou_2012 | grain_zn | foliar,1,1,nonfigure,22,3,67,1,1,3,1,1,0,1
Hui et al. 2025,Hui,zou_2012,zou_2012 | grain_zn | soil,1,1,nonfigure,23,3,67,1,1,3,1,1,0,1
Hui et al. 2025,Hui,zou_2012,zou_2012 | grain_zn | soil+foliar,1,1,nonfigure,22,3,67,1,1,3,1,1,0,1
Hui et al. 2025,Hui,zulfiqar_2020,zulfiqar_2020 | grain_zn | foliar,1,1,nonfigure,4,2,8,1,1,2,1,1,0,1
Hui et al. 2025,Hui,zulfiqar_2020,zulfiqar_2020 | grain_zn | soil,1,1,nonfigure,4,2,8,1,1,2,1,1,0,1
Loladze 2014,Loladze,al-rawahy_2013,al-rawahy_2013 | ca | foliar | victor,0,1,nonfigure,1,7,7,1,1,7,1,1,1,1
Loladze 2014,Loladze,al-rawahy_2013,al-rawahy_2013 | fe | foliar | victor,0,1,nonfigure,1,7,7,1,1,7,1,1,1,1
Loladze 2014,Loladze,al-rawahy_2013,al-rawahy_2013 | k | foliar | victor,0,1,nonfigure,1,7,7,1,1,7,1,1,1,1
Loladze 2014,Loladze,al-rawahy_2013,al-rawahy_2013 | mg | foliar | victor,0,1,nonfigure,1,7,7,1,1,7,1,1,1,1
Loladze 2014,Loladze,al-rawahy_2013,al-rawahy_2013 | n | foliar | victor,0,1,nonfigure,1,7,7,1,1,7,1,1,1,1
Loladze 2014,Loladze,al-rawahy_2013,al-rawahy_2013 | p | foliar | victor,0,1,nonfigure,1,7,7,1,1,7,1,1,1,1
Loladze 2014,Loladze,al-rawahy_2013,al-rawahy_2013 | zn | foliar | victor,0,1,nonfigure,1,7,7,1,1,7,1,1,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | c | edible | grabe,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | c | edible | t_1_111,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | ca | edible | grabe,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | ca | edible | mino,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | ca | edible | t_1_111,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | cd | edible | grabe,0,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | cd | edible | t_1_111,0,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | cr | edible | grabe,0,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | cr | edible | mino,0,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | cr | edible | t_1_111,0,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | cu | edible | grabe,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | cu | edible | mino,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | cu | edible | t_1_111,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | fe | edible | grabe,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | fe | edible | mino,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | fe | edible | t_1_111,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | k | edible | grabe,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | k | edible | mino,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
Loladze 2014,Loladze,azam_2013,azam_2013 | k | edible | t_1_111,1,1,nonfigure,1,38,38,1,1,14,1,3,1,1
